city,datetime,month,hour,air_temperature_c,relative_humidity_pct,wind_speed_mps,solar_elevation_deg,tmrt_c,utci_c,thermal_stress_category_he,thermal_stress_category_en
turin,2024-09-12T12:00,9,12,20.0,67,0.86,48.3,44.74,28.22,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-12T15:00,9,15,22.0,42,3.76,27.9,43.17,29.11,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-12T18:00,9,18,20.5,51,0.99,-3.3,15.0,19.1,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-12T21:00,9,21,14.0,73,1.53,-31.3,7.31,11.86,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-13T00:00,9,0,13.0,78,2.16,-40.4,8.82,11.83,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-13T03:00,9,3,10.6,81,1.41,-21.7,1.66,7.26,עומס קור קל,Slight Cold Stress
turin,2024-09-13T06:00,9,6,8.7,71,2.09,8.9,-0.92,4.94,עומס קור קל,Slight Cold Stress
turin,2024-09-13T09:00,9,9,13.2,66,0.94,37.9,30.72,20.41,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-13T12:00,9,12,18.9,30,0.54,47.9,45.86,28.19,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-13T15:00,9,15,21.1,23,2.88,27.5,47.2,29.18,עומס חום בינוני,Moderate Heat Stress
turin,2024-09-13T18:00,9,18,19.6,38,1.02,-3.6,9.85,16.57,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-09-13T21:00,9,21,12.7,56,1.6,-31.6,3.15,9.28,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
